2015-05-04 00:29:49 uri:/team/contact; code:404; msg:The requested URL team/contact was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/contact was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://igmoo.cn/team/contact
2015-05-04 15:13:05 uri:/news.action; code:404; msg:Unable to find a route to match the URI: news.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: news.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/login.jsp; code:404; msg:Unable to find a route to match the URI: login.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/siteEnter.action; code:404; msg:Unable to find a route to match the URI: siteEnter.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: siteEnter.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/login!init.action; code:404; msg:Unable to find a route to match the URI: login!init.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login!init.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/admin/index.jsp; code:404; msg:Unable to find a route to match the URI: admin/index.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/index!download.action; code:404; msg:Unable to find a route to match the URI: index!download.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!download.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/index!execute.action; code:404; msg:Unable to find a route to match the URI: index!execute.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!execute.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/index!WCIndex.action; code:404; msg:Unable to find a route to match the URI: index!WCIndex.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!WCIndex.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/index!OAIndex.action; code:404; msg:Unable to find a route to match the URI: index!OAIndex.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!OAIndex.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/userInfoAction.action; code:404; msg:Unable to find a route to match the URI: userInfoAction.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userInfoAction.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/admin/install!license.action; code:404; msg:Unable to find a route to match the URI: admin/install!license.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/install!license.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/admin/index.action; code:404; msg:Unable to find a route to match the URI: admin/index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/license!getExpireDateOfDays.action; code:404; msg:Unable to find a route to match the URI: license!getExpireDateOfDays.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: license!getExpireDateOfDays.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/userAction_loginUI.action; code:404; msg:Unable to find a route to match the URI: userAction_loginUI.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userAction_loginUI.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 15:13:06 uri:/unAuthorizedAccess.action; code:404; msg:Unable to find a route to match the URI: unAuthorizedAccess.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: unAuthorizedAccess.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 16:09:55 uri:/team/contact; code:404; msg:The requested URL team/contact was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/contact was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.xgomo.com/
2015-05-04 16:09:58 uri:/team/about; code:404; msg:The requested URL team/about was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/about was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.xgomo.com/
2015-05-04 16:10:01 uri:/detail/1ki; code:404; msg:The requested URL detail/1ki was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL detail/1ki was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://www.xgomo.com/
2015-05-04 16:37:08 uri:/login.action; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 17:17:09 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 17:26:20 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 17:54:18 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-05-04 20:42:21 uri:/bbs/; code:404; msg:The requested URL bbs was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL bbs was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-05-04 20:56:34 uri:/jmx-console/; code:404; msg:The requested URL jmx-console was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL jmx-console was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 20:56:35 uri:/web-console/; code:404; msg:The requested URL web-console was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL web-console was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 20:56:36 uri:/invoker/JMXInvokerServlet; code:404; msg:The requested URL invoker/JMXInvokerServlet was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL invoker/JMXInvokerServlet was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 20:56:37 uri:/invoker/EJBInvokerServlet; code:404; msg:The requested URL invoker/EJBInvokerServlet was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL invoker/EJBInvokerServlet was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 20:56:38 uri:/status/; code:404; msg:The requested URL status was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL status was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 20:56:39 uri:/server-status/; code:404; msg:The requested URL server-status was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL server-status was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 20:56:43 uri:/login.action?debug=browser; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:45 uri:/admin.action?debug=browser; code:404; msg:Unable to find a route to match the URI: admin.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:46 uri:/index.action?debug=browser; code:404; msg:Unable to find a route to match the URI: index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:46 uri:/login.action; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:48 uri:/admin.action; code:404; msg:Unable to find a route to match the URI: admin.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:49 uri:/index.action; code:404; msg:Unable to find a route to match the URI: index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:53 uri:/index.action?redirect%3A%25%7Bnew+java.lang.String%28%27http%3A%2F%2Fxxxxxxxxxxxxx%27%29%7D; code:404; msg:Unable to find a route to match the URI: index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:54 uri:/login.action?redirect%3A%25%7Bnew+java.lang.String%28%27http%3A%2F%2Fxxxxxxxxxxxxx%27%29%7D; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:55 uri:/admin.action?redirect%3A%25%7Bnew+java.lang.String%28%27http%3A%2F%2Fxxxxxxxxxxxxx%27%29%7D; code:404; msg:Unable to find a route to match the URI: admin.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:57 uri:/index.action; code:404; msg:Unable to find a route to match the URI: index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:57 uri:/login.action; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:56:58 uri:/admin.action; code:404; msg:Unable to find a route to match the URI: admin.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:http://121.40.211.61/
2015-05-04 20:57:03 uri:/manager/html; code:404; msg:The requested URL manager/html was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL manager/html was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:http://121.40.211.61/
2015-05-04 23:17:29 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
